Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201506,June 2015,4,0,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,502,,1257,,,0
HS,2015,201506,June 2015,4,0,2,Exports,826,United Kingdom,,392,Japan,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,1056,,11047,,,0
HS,2015,201506,June 2015,4,0,2,Exports,826,United Kingdom,,410,Rep. of Korea,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,21051,,146987,,,0
HS,2015,201506,June 2015,4,0,2,Exports,826,United Kingdom,,414,Kuwait,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,3960,,7882,,,0
HS,2015,201506,June 2015,4,0,2,Exports,826,United Kingdom,,428,Latvia,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,12,,25,,,0
HS,2015,201506,June 2015,4,0,2,Exports,826,United Kingdom,,434,Libya,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,891503,,720067,,,0
HS,2015,201506,June 2015,4,0,1,Imports,826,United Kingdom,,440,Lithuania,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,10005,,15295,,,0
HS,2015,201506,June 2015,4,0,2,Exports,826,United Kingdom,,440,Lithuania,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,486,,1080,,,0
HS,2015,201506,June 2015,4,0,2,Exports,826,United Kingdom,,458,Malaysia,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,200,,2403,,,0
HS,2015,201506,June 2015,4,0,2,Exports,826,United Kingdom,,470,Malta,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,21572,,15060,,,0
HS,2015,201506,June 2015,4,0,2,Exports,826,United Kingdom,,478,Mauritania,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,25000,,101108,,,0
HS,2015,201506,June 2015,4,0,2,Exports,826,United Kingdom,,490,"Other Asia, nes",,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,1222,,13027,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,597469,,996031,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,100,Bulgaria,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,1,,191,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,124,Canada,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,4813,,50193,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,144,Sri Lanka,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,571,,3089,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,156,China,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,447823,,1022524,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,196,Cyprus,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,4289,,4029,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,208,Denmark,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,2050222,,2546926,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,208,Denmark,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,3381,,2943,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,238,Falkland Isds (Malvinas),,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,1786,,4892,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,246,Finland,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,120853,,160678,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,251,France,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,770065,,1051717,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,251,France,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,1089710,,1761611,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,1017343,,632917,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,89727,,281709,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,300,Greece,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,52,,251,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,344,"China, Hong Kong SAR",,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,44903,,224000,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,348,Hungary,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,1266,,2831,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,372,Ireland,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,10967593,,6619690,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,372,Ireland,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,53408313,,20904409,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,381,Italy,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,2402,,5893,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,11674,,17921,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,428,Latvia,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,168,,683,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,440,Lithuania,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,10601,,15649,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,470,Malta,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,3340,,9597,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,512,Oman,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,259,,1441,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,431086,,725724,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,528,Netherlands,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,235242,,439011,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,616,Poland,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,895759,,795567,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,616,Poland,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,672,,642,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,620,Portugal,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,22472,,27407,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,620,Portugal,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,568,,1826,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,634,Qatar,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,994,,4771,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,642,Romania,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,99110,,176081,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,702,Singapore,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,800,,9524,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,710,South Africa,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,5691,,7043,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,724,Spain,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,1,,15,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,724,Spain,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,150060,,136852,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,752,Sweden,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,16711,,72453,,,0
